site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
ABBY,2023-11-01T00:00:00Z,97155.76953125,280.32184982299805,0.19700001180171967,0,0,0
BARR,2023-11-01T00:00:00Z,101667.169921875,NA,NA,NA,NA,0.029999999329447746
BART,2023-11-01T00:00:00Z,95307.9697265625,276.9380989074707,0.27637501433491707,0,0,0
BLAN,2023-11-01T00:00:00Z,99232.5693359375,282.0680961608887,0.20800000801682472,0,0,0
BONA,2023-11-01T00:00:00Z,97620.369140625,270.6643486022949,0.38700002431869507,17,0.1687500011175871,0
CLBJ,2023-11-01T00:00:00Z,99647.9697265625,280.9168472290039,0.2916250117123127,0,0,0
CPER,2023-11-01T00:00:00Z,83352.9697265625,274.8493461608887,0.15112500824034214,0.875,0.007499999832361937,0
DCFS,2023-11-01T00:00:00Z,95900.5703125,272.4106025695801,0.17150000482797623,11,0.10999999940395355,0
DEJU,2023-11-01T00:00:00Z,95419.96875,268.9893493652344,0.39100003242492676,15.125,0.14999999105930328,0
DELA,2023-11-01T00:00:00Z,102007.9677734375,285.54684829711914,0.10100000351667404,0,0,0
DSNY,2023-11-01T00:00:00Z,101052.1689453125,295.92559814453125,0.10662500746548176,0,0,0
GRSM,2023-11-01T00:00:00Z,91713.5693359375,280.51185607910156,0.229875011369586,0,0,0
GUAN,2023-11-01T00:00:00Z,99919.970703125,299.22309494018555,0.28975000977516174,0,0,0
HARV,2023-11-01T00:00:00Z,98317.169921875,278.2493476867676,0.29075001552700996,0,0,0
HEAL,2023-11-01T00:00:00Z,93882.96875,269.8230972290039,0.41450002789497375,11,0.10999999940395355,0
JERC,2023-11-01T00:00:00Z,101348.76953125,290.9343490600586,0.0653750030323863,0,0,0
JORN,2023-11-01T00:00:00Z,86883.76953125,285.3880920410156,0.14212500490248203,0,0,0
KONA,2023-11-01T00:00:00Z,98143.169921875,275.8805923461914,0.23125001043081284,0,0,0
KONZ,2023-11-01T00:00:00Z,98143.169921875,275.8805923461914,0.23125001043081284,0,0,0
LAJA,2023-11-01T00:00:00Z,99919.970703125,299.22309494018555,0.28975000977516174,0,0,0
